Model Name,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Landing over 50ft,Empty weight lbs,Length ft/in,Wing span ft/in,Range N.M.,Price
100 Darter (S.L. Industries),Propjet,550,250,245,77,474,"1,870",2024,2110,"10,100","5,996",35/6,50/3,"1,290",2762000
B 55 Baron (1978 & up),Propjet,550,247,240,75,384,"2,137",2261,1672,"10,100","5,765",35/6,50/3,"1,120",3000000
100 Darter (S.L. Industries),Propjet,550,223,217,76,384,"1,955",2261,1672,"9,650","5,765",35/6,50/3,"1,120",2810000
100 Darter (S.L. Industries),Propjet,550,223,219,74,384,"2,000",2180,2010,"9,650","5,685",36/6,50/3,"1,185",2720000
E 95 Travel Air (fuel inj.),Propjet,550,223,216,77,384,"1,900",2150,1960,"9,300","5,680",35/6,45/1,"1,160",3020000
100 Darter (S.L. Industries),Propjet,500,243,235,75,384,"2,000",1755,1870,"9,000","5,680",35/6,45/1,"1,270",2840000
"95, B95 Travel Air (95 = 4,000 lb. gross)",Piston,380,214,192,71,264,"1,275",1800,2311,"8,800","6,035",35/6,50/3,902,2680000
100 Darter (S.L. Industries),Piston,380,216,196,70,200,"1,275",2556,2572,"8,800","5,277",35/6,50/3,656,2680000
B 36 TC Bonanza,Piston,380,216,195,71,214,"1,275",1800,2311,"8,800","5,120",35/6,50/3,716,2680000
100 Darter (S.L. Industries),Piston,380,219,200,70,214,"1,585",1800,2143,"8,500","4,900",35/6,50/3,716,2850000
A 36 Bonanza (300 hp),Piston,380,208,191,67,230,"1,300",1450,2070,"8,000","4,800",35/2,50/3,746,2800000
100 Darter (S.L. Industries),Piston,340,208,186,70,214,"1,375",1675,2107,"8,200","4,995",35/6,50/4,755,3000000
36 Bonanza,Piston,340,208,186,70,214,"1,300",1560,1750,"7,700","4,980",35/6,45/10,755,3130000
100 Darter (S.L. Industries),Piston,340,200,186,70,180,"1,300",1700,1980,"7,700","4,640",33/3,45/10,630,2700000
V 35B Bonanza ('80 & up=fuel std 74 gal),Piston,380,246,233,73,142,"1,601",2626,3065,"6,775","4,425",33/10,39/3,"1,010",3000000
100 Darter (S.L. Industries),Piston,380,249,240,76,142,"1,601",2626,3065,"6,775","4,175",33/10,39/3,824,3080000
V 35 TC Turbo Bonanza,Piston,380,249,236,76,142,"1,615",1660,2340,"6,725","4,100",33/10,39/3,824,3130000
100 Darter (S.L. Industries),Piston,450,204,191,76,198,"1,400",2072,1850,"9,900","5,845",35/2,49/8,622,2030000
S 35 Bonanza,Piston,450,200,186,73,275,"1,410",1980,1850,"9,700","5,910",35/1,49/6,880,2140000
100 Darter (S.L. Industries),Piston,450,203,187,71,206,"1,250",2079,1569,"9,300","6,150",33/1,47/7,638,2300000
"K,M 35 Bonanza",Piston,450,200,183,67,206,"1,190",1760,1460,"8,750","5,770",33/1,47/7,632,2050000
100 Darter (S.L. Industries),Piston,340,204,180,72,180,"1,270",1250,1840,"7,300","4,480",31/5,45/9,787,2950000
H 35 Bonanza,Piston,340,209,184,72,180,"1,320",1250,1840,"7,000","4,460",31/5,45/9,813,2950000
100 Darter (S.L. Industries),Piston,295,186,178,62,134,"1,450",1260,1452,"6,300","4,100",31/5,45/9,670,2000000
"C, D 35 Bonanza",Piston,275,178,161,60,134,"1,450",1260,1375,"6,000","3,956",31/5,45/2,726,2000000
100 Darter (S.L. Industries),Piston,260,177,159,60,134,"1,450",1344,1215,"6,000","3,940",31/5,45/2,733,2000000
35 Bonanza,Piston,260,177,158,56,134,"1,450",1350,1215,"5,500","3,800",31/5,45/2,722,1900000
100 Darter (S.L. Industries),Piston,325,261,232,78,166,"1,475",2643,2427,"6,200","4,026",29/11,37/10,"1,013",2500000
F & E 33-C Bonanza (conventional tail),Piston,310,256,214,79,166,"1,529",2376,2498,"6,100","3,985",29/10,37/10,"1,130",2500000
100 Darter (S.L. Industries),Piston,310,231,207,79,166,"1,424",2761,2498,"6,100","3,985",29/10,37/10,"1,104",2500000
E 33 A Bonanza (conventional tail),Piston,325,261,232,78,166,"1,475",2643,2427,"6,200","3,788",29/11,37/10,"1,013",2500000
100 Darter (S.L. Industries),Piston,310,250,214,79,166,"1,461",2376,2498,"6,100","3,780",29/10,37/10,"1,130",2500000
C 33 A Debonair,Piston,300,208,195,74,136,"1,750",2371,2498,"5,500","3,443",29/10,37/10,"1,109",2068800
100 Darter (S.L. Industries),Piston,285,208,195,74,136,"1,660",2101,2498,"5,400","3,361",29/10,37/10,"1,109",1860000
"A,B 33 Debonair",Piston,380,252,247,73,142,"2,020",1420,2080,"5,990","3,700",29/0,37/10,737,3220000
100 Darter (S.L. Industries),Piston,380,252,247,73,142,"2,020",1420,2080,"5,990","3,650",28/3,37/10,737,3220000
"C-24R Sierra 200 (prior'78 svc. ceil=16,400)",Piston,285,208,195,73,100,"1,682",968,1414,"5,300","3,291",29/0,37/10,934,1910000
100 Darter (S.L. Industries),Piston,285,210,200,67,112,"1,670",968,1414,"5,300","3,075",28/3,37/10,550,2090000
A-24R Sierra 200,Piston,260,201,184,73,100,"1,693",2154,2148,"5,100","3,236",28/0,37/10,739,1930000
100 Darter (S.L. Industries),Piston,260,205,196,68,112,"1,670",1225,1370,"5,100","3,075",27/0,37/10,763,1970000
C 23 Sundowner (pre '76 fuel=52 gal) pre'82=less mph,Piston,260,200,191,66,112,"1,700",1700,1470,"4,880","2,960",26/5,37/8,745,1950000
100 Darter (S.L. Industries),Piston,260,200,191,66,112,"1,630",1700,1470,"4,880","2,960",25/7,37/8,745,1920000
"A 23, A23A Musketeer (A=2,400 lb gross)",Piston,180,183,174,61,80,"1,250",1280,1590,"4,200","2,650",25/1,37/1,661,1810000
100 Darter (S.L. Industries),Piston,180,183,174,61,80,"1,250",2100,1850,"4,200","2,635",25/3,37/1,661,1810000
B 19 Sport 150 (76' & prior fuel=52 gal),Piston,180,183,170,61,80,"1,250",2100,1850,"4,100","2,635",25/3,37/9,661,1810000
100 Darter (S.L. Industries),Piston,180,171,158,60,100,"1,248",2119,1881,"3,900","2,460",29/0,38/0,843,1965000
77 Skipper ('79-'80 height=7/11),Piston,300,213,190,57,102,"1,049",2364,1692,"3,850","2,338",27/6,37/10,957,2500000
"17-31 ATC Turbo, 300-Lyc. (prior '78=8 gal less)",Piston,300,214,190,57,74,"1,165",2012,1449,"3,650","2,278",27/6,33/6,800,2500000
"17-31A, (prior '78=8 gal less fuel + 6 mph less)",Piston,300,184,169,59,74,"1,210",1913,1473,"3,650","2,247",27/6,33/6,720,1850000
100 Darter (S.L. Industries),Piston,285,179,168,52,74,"1,030 w/3bld",2040,1450,"3,600","2,195",27/6,33/6,697,1660000
"17-30A, (1979 & up; 1993 & up + 5 mph; IO-550 +6 mph)",Piston,285,177,170,56,50,"1,015",1525,1240,"3,600","1,980",26/4,32/10,510,1600000
100 Darter (S.L. Industries),Piston,285,217,200,55,50,"1,225",1320,1177,"3,400","2,027",26/4,33/5,600,2950000
17-30-300 Viking (Continental eng),Piston,285,182,172,51,74,"1,167 w/3bld",1769,1324,"3,400",,26/5,33/6,717,1785800
100 Darter (S.L. Industries),Piston,285,183,177,55,44,"1,136",1320,1177,"3,400","1,960",26/4,33/5,536,1750000
14-19-2 Cruisemaster,Piston,285,209,195,55,50,"1,225",1320,1177,"3,400","1,950",26/4,33/5,580,2660000
100 Darter (S.L. Industries),Piston,285,183,177,55,50,"1,136",1320,1177,"3,400","1,915",26/4,33/5,543,1750000
14-13 Cruiseair Sr.,Piston,285,184,178,54,50,"1,200",1225,1150,"3,300","1,915",26/4,33/5,543,1830000
55 (1984-'85),Piston,260,178,170,52,50,"1,150",1260,1100,"3,125","1,855",25/2,33/5,535,1920000
55 (thru 1983),Piston,250,183,170,52,49,"1,170",1185,1050,"2,950","1,832",25/1,33/5,495,2000000
100 Darter (S.L. Industries),Piston,250,183,174,50,39,"1,250",1175,1050,"2,900","1,820",25/1,32/9,492,2130000
100 Darter (S.L. Industries),Piston,240,179,165,50,39,"1,225",1260,1050,"2,900","1,820",25/1,32/9,470,1980000
"36 A (prior'82 = gross weight @ 18,000)",Piston,225,169,160,48,39,"1,300",1270,1025,"2,775","1,722",25/1,32/9,550,1900000
36,Piston,205,165,152,48,39,"1,100",1500,975,"2,700","1,650",25/1,32/9,510,1800000
100 Darter (S.L. Industries),Piston,196,160,148,49,39,890,1515,950,"2,650","1,575",25/1,32/9,470,1710000
100 Darter (S.L. Industries),Piston,185,160,150,48,39,950,1440,925,"2,550","1,458",25/1,32/9,530,1800000
100 Darter (S.L. Industries),Piston,260,177,168,49,50,"1,060",1516,1150,"3,300","1,935",25/5,32/9,513,1660000
28 Longhorn,Piston,285,181,174,53,50,"1,200",1225,1150,"3,300","1,918",25/6,32/9,520,1830000
"25 D,F w/6 engs=45,000 service ceiling (prior '82 more rate of climb)",Piston,285,182,172,51,74,"1,167 w/3bld",1769,1324,"3,400","2,125",26/8,33/6,717,1785800
100 Darter (S.L. Industries),Piston,285,181,174,53,50,"1,200",1225,1150,"3,300","1,915",25/6,32/10,520,1830000
25 C (1973 thru 1975),Piston,225,170,161,52,50,930,1288,1298,"3,050","1,862",25/6,32/10,520,1780000
100 Darter (S.L. Industries),Piston,285,181,174,53,50,"1,200",1225,1150,"3,300","1,775",25/6,32/10,520,1830000
"24 F (w/8A engs=51,000 service ceil)",Piston,225,170,161,52,50,980,1288,1298,"3,050","1,854",25/6,32/10,568,1830000
100 Darter (S.L. Industries),Piston,225,170,161,52,50,960,1235,1282,"3,000","1,745",25/6,32/10,568,1840000
24 D (1973 thru 1975),Piston,225,170,161,52,50,"1,010",1235,1282,"2,900","1,730",25/5,32/8,550,1980000
100 Darter (S.L. Industries),Piston,200,145,137,60,57,927,1561,1462,"2,750","1,696",25/9,32/9,647,1538500
24 C,Piston,200,140,131,55,52,891,1804,1519,"2,750","1,711",25/8,32/9,591,1434200
100 Darter (S.L. Industries),Piston,200,148,141,57,58,862,1630,1380,"2,750","1,610",25/8,32/9,704,1435000
24 Twin Jet,Piston,200,137,130,52,60,880,1380,1300,"2,550","1,410",25/1,32/7,643,1485000
100 Darter (S.L. Industries),Piston,180,128,116,51,57,792,1955,1484,"2,450","1,494",25/9,32/9,565,1260000
100 Darter (S.L. Industries),Piston,180,127,120,50,60,728,1460,1260,"2,400","1,375",25/1,32/7,565,1187000
650 Citation VII,Piston,165,127,120,50,60,880,1460,1260,"2,350","1,325",25/1,32/7,565,1187000
650 Citation VI,Piston,160,123,111,52,60,720,1275,1260,"2,300","1,300",25/1,32/7,800,1350000
100 Darter (S.L. Industries),Piston,150,110,107,50,57,680,1635,1693,"2,150","1,414",25/9,32/9,643,1165000
650 Citation III (thru SN 099),Piston,150,122,114,48,60,900,1255,1220,"2,200","1,325",25/1,32/7,800,1490000
100 Darter (S.L. Industries),Piston,115,106,97,47,29,720,1280,1313,"1,675","1,103",24/0,30/0,370,1290000
100 Darter (S.L. Industries),Piston,300,193,187,61,68,"1,170",1420,1340,"3,325","2,372",26/4,34/2,760,2400000
100 Darter (S.L. Industries),Piston,300,174,165,61,68,"1,170",1420,1340,"3,325","2,247",26/4,34/2,483,1820000
S550 Citation SII,Piston,250,193,187,54,72,"1,800",890,1100,"3,200","2,010",23/7,34/2,760,2400000
Citation II 550 (thru SN 626),Piston,300,181,176,61,68,"1,210",1420,1340,"3,325","2,185",26/4,34/2,550,2000000
100 Darter (S.L. Industries),Piston,300,166,163,61,60,"1,085",1420,1340,"3,325","2,217",26/4,34/2,550,1700000
Citation CJ3 525B,Piston,300,167,163,54,58,"1,840",890,1050,"3,200","1,900",23/7,34/2,550,2100000
100 Darter (S.L. Industries),Piston,260,181,177,54,58,"1,500",990,825,"3,000","1,750",23/6,34/2,639,2250000
100 Darter (S.L. Industries),Piston,230,179,170,42,40,"1,400",1025,1150,"2,700","1,640",22/9,34/2,452,2000000
Citation I 500,Piston,190,174,157,38,40,"1,250",1270,1025,"2,600","1,575",23/0,34/2,435,2150000
100 Darter (S.L. Industries),Piston,150,147,130,38,40,"1,100",1350,975,"2,100","1,520",21/2,34/2,591,1950000
402C Business Liner II,Jet,"3,700",455,417,,6707,"4,059",5600,3300,"21,500","12,135",55/1,43/9,"1,715",5100000
"402,-A turbocharged",Jet,"3,700",457,,,6707,"4,380",4540,3109,"19,500","12,130",55/1,43/9,"1,715",5100000
100 Darter (S.L. Industries),Jet,"8,650",480,442,,16665,"4,200",5400,3300,"43,250","19,950",68/5,61/10,"3,391",4100000
100 Darter (S.L. Industries),Jet,"7,500",480,442,,14890,"3,400",5700,3300,"41,400","18,660",68/5,61/10,"2,991",4100000
T 310 P turbocharged,Jet,"3,500",491,460,99,7400,"4,340",4972,3075,"18,300","9,838",48/8,39/6,"2,289",4500000
310 Q,Jet,"3,500",477,441,105,7431,"5,100",4080,3105,"17,000","8,802",48/7,39/5,"2,289",4500000
100 Darter (S.L. Industries),Jet,"3,500",471,460,99,6198,"4,760",4972,3075,"18,300","9,838",48/8,39/6,"1,818",4500000
100 Darter (S.L. Industries),Jet,"3,500",477,441,105,6171,"5,100",4080,3105,"17,000","8,762",48/7,39/5,"1,818",4500000
100 Darter (S.L. Industries),Jet,"2,950",478,441,79,5373,"6,110",2880,2220,"15,000","8,157",47/7,43/9,"1,546",4790000
"310,-A",Jet,"2,950",475,441,79,4704,"6,350",2630,2220,"15,000","8,195",47/7,43/9,"1,450",4880000
"T 337 G-P II,H-P, Skymaster pressurized",Jet,"2,950",464,459,97,6098,"6,830",3937,2817,"15,000","7,950",47/7,35/7,"1,431",5100000
100 Darter (S.L. Industries),Jet,"2,950",464,441,104,6098,"6,050",5186,3090,"15,000","7,355",47/6,35/7,"1,450",4500000
T 337 E & F Skymaster turbocharged,Jet,"2,950",464,441,104,7464,"6,050",5186,3090,"15,000","7,233",47/6,35/7,"1,525",4500000
100 Darter (S.L. Industries),Jet,"2,950",477,442,90,6098,"6,050",5186,2703,"15,000","7,206",47/6,35/6,"1,385",4500000
T 337 C Skymaster turbocharged,Jet,"2,950",475,441,88,5628,"7,100",3297,2873,"13,500","7,130",43/3,35/6,"1,001",4500000
100 Darter (S.L. Industries),Jet,"2,950",477,441,88,4791,"7,220",3000,2789,"12,900","7,025",43/3,35/6,730,4500000
"337 G,H II Skymaster (prior '79 service ceiling=18,000)",Jet,"2,950",464,441,99,5628,"6,800",3917,2800,"13,500","6,988",43/3,35/7,"1,001",4500000
100 Darter (S.L. Industries),Jet,"2,950",477,442,87,840,"6,800",3917,2703,"13,500","6,803",43/3,35/6,"1,001",4500000
337 E Skymaster,Jet,"2,950",461,442,88,715,"6,900",3370,2850,"12,500","6,519",43/3,35/6,"1,385",4500000
100 Darter (S.L. Industries),Jet,"2,950",474,437,88,834,"6,300",3100,3307,"13,500","6,927",43/3,35/7,"1,001",4500000
337 C Skymaster,Jet,"2,850",469,417,90,847,"6,300",3100,3350,"13,000","7,090",43/2,35/7,"1,100",4100000
100 Darter (S.L. Industries),Jet,"2,850",488,423,89,828,"6,900",2940,2800,"12,500","6,700",43/2,35/7,"1,000",4100000
208 Caravan-675,Jet,"6,400",.92 Mach,511,,13000,"3,720",5710,3820,"35,700","21,400",72/2,63/9,"3,250",5100000
100 Darter (S.L. Industries),Jet,"4,000",.85 Mach,476,97,7385,"4,442",4690,2910,"22,450","13,700",55/5,53/5,"2,300",5100000
100 Darter (S.L. Industries),Jet,"3,650",473,,97,7385,"1,520",5150,2900,"22,000","12,775",55/5,53/5,"2,345",5100000
"T 210 K,L Turbo (K=9 mph less speed)",Jet,"3,650",472,461,97,7384,"3,699",5030,2900,"22,000","11,811",55/6,53/6,"2,600",5100000
100 Darter (S.L. Industries),Jet,"3,650",472,,89,7384,"3,909",4710,2560,"21,000","11,720",55/6,53/6,"2,600",5100000
T 210 F Turbo Centurion,Jet,"3,786",.76 Mach,429,82,6590,"3,090",3460,3315,"19,200","11,310",51/10,55/8,"2,027",nan
100 Darter (S.L. Industries),Jet,"3,400",.755 Mach,427,83,5440,"4,500",,,"16,830","9,977",48/9,54/1,"1,970",4500000
"210 M,NII (prior'78=less svc. ceil. & r/o/c=860)",Jet,"3,045",.76 Mach,430,82,5771,"4,230",3180,2800,"16,300","9,550",48/11,52/2,"1,960",nan
210 F Centurion,Jet,"2,887",.70 Mach,401,86,4860,"3,195",3600,3180,"14,800","8,925",47/2,52/2,"1,900",nan
100 Darter (S.L. Industries),Jet,"2,500",,403,82,5820,"3,000",3240,3050,"15,000","8,049",47/2,52/2,"2,104",4300000
100 Darter (S.L. Industries),Jet,"2,500",,385,82,5008,"3,370",2990,2270,"13,300","7,388",47/2,52/2,"1,930",4300000
T 207 (Stationair 7 & 8) '77=eng 310 hp,Jet,"2,500",,385,82,5009,"3,625",2650,2210,"12,500","7,181",47/2,52/2,"2,104",4300000
100 Darter (S.L. Industries),Jet,"2,820",.737 Mach,351,,4710,"2,460",,2770,"13,870","8,300",50/2,53/4,"1,875",4500000
"U206E,F, float ('75-'76 specs) '76=+4 gal fuel",Jet,"1,900",.71 Mach,380,85,3220,"3,311",3080,2750,"10,400","6,550",42/6,46/8,"1,485",4100000
"TU 206E,F (ski) (prior'76=4 gal more fuel)",Jet,"2,200",,357,82,3807,"2,719",2930,2270,"11,850","6,631",43/6,47/1,"1,325",4100000
"U206 E,F (ski) Super Skywagon",Jet,"2,200",,351,,3780,"2,680",2930,2270,"11,850","6,684",43/6,47/1,"1,325",4100000
100 Darter (S.L. Industries),Jet,"2,200",,348,85,3780,"2,900",2660,2300,"11,500",6454,43/6,43/11,"1,308",4100000
"TU 206E,F Stationair",Jet,"2,200",,348,84,3618,"2,900",2550,2310,"10,850","6,350",43/6,43/9,"1,064",3500000
100 Darter (S.L. Industries),Propjet,625,295,283,76,475,"2,435",2465,1875,"9,850","5,682",39/0,49/4,"2,193",3500000
"U206 F,G II ('75 up) '75 lgt=28/9 + prior'79 less fuel)",Propjet,450,263,,84,366,"1,861",2490,2150,"8,600","4,948",35/10,44/1,"1,248",3340000
100 Darter (S.L. Industries),Propjet,450,263,250,79,366,"2,027",2341,2145,"8,200","4,915",35/10,44/1,"1,461",3470000
U 206 A,Piston,375,257,241,74,213,"1,940",2323,2293,"7,450","5,048",36/5,41/1,"1,197",3020000
100 Darter (S.L. Industries),Piston,375,245,235,74,175,"1,850",2387,2178,"7,450","4,426",36/1,41/9,845,3100000
"TP 206A,B,C,D,E (E=35/10 span) (A=28/0 lgt)",Piston,375,240,227,76,175,"1,700",2516,2110,"6,840","4,252",33/8,39/9,826,2600000
100 Darter (S.L. Industries),Piston,375,240,222,76,170,"1,700",2516,2110,"6,800","4,237",33/5,39/9,826,2600000
206H Stationair,Piston,310,235,224,72,213,"1,520",2595,2393,"6,750","4,543",36/4,44/1,"1,099",3080000
100 Darter (S.L. Industries),Piston,310,239,224,70,102,"1,580",2350,1865,"6,350","4,039",33/9,39/11,"1,090",3010000
P 206 Super Skylane,Piston,340,231,214,72,175,"1,900",2010,1851,"6,500","3,865",33/5,39/9,908,2600000
100 Darter (S.L. Industries),Piston,375,232,217,70,348,"1,575",2367,2130,"8,400","4,965",39/6,46/4,553,2600000
195 B,Piston,325,230,213,68,213,"1,450",2195,2485,"6,850","4,238",36/4,44/1,875,2690000
100 Darter (S.L. Industries),Piston,300,229,210,70,102,"1,610",2220,1765,"6,300","4,038",36/1,39/11,"1,180",2618000
195,Piston,300,227,209,69,102,"1,610",2220,1765,"6,300","3,719",35/8,39/9,833,2618000
100 Darter (S.L. Industries),Piston,300,227,209,69,102,"1,610",2220,1765,"6,300","3,674",33/8,39/9,"1,102",2618000
T 188C Ag Husky (prior'81=4 mph less),Piston,310,243,229,71,102,"1,650",2175,1850,"5,990","4,184",34/4,38/1,"1,106",2980000
100 Darter (S.L. Industries),Piston,285,226,210,71,102,"1,500",2430,1840,"5,975","3,730",34/4,38/1,"1,258",2650000
A188B Ag Wagon ('79 & up) dispersal sys,Piston,300,230,215,71,102,"1,400",2365,1850,"5,990","3,963",34/4,38/1,928,2680000
100 Darter (S.L. Industries),Piston,285,239,226,64,102,"1,924",1515,1734,"5,300","3,273",29/6,36/9,735,2900000
A188 Ag Wagon restricted (prior'77=7/10 hgt),Piston,260,229,213,63,102,"1,820",1584,1910,"5,200","3,260",29/6,36/9,735,2810000
100 Darter (S.L. Industries),Piston,260,230,204,68,102,"1,820",1890,2056,"4,990","3,190",29/5,36/9,740,2810000
188 Ag Pickup fixed-prop ('72) restricted,Piston,285,237,223,70,102,"1,700",1662,1790,"5,500","3,723",31/11,36/11,517,2740000
