,sorgu,label,le
38,bu ayki kredi kartı ekstremi ödeme zamanımı öğrenmek istiyorum,borcodeme,0
39,kart borcumu online bankacılık üzerinden ödemek istiyorum,borcodeme,0
40,kredi kartı borcumu düzenli olarak kontrol etmek istiyorum,borcodeme,0
41,kart borcumu kapatmak kadar ödemem gerekiyor ,borcodeme,0
42,kredi kartı borcumun güncel tutarını öğrenmek istiyorum,borcodeme,0
43,kart borcumu hemen kapatmalı mıyım yoksa taksitlendirmeli miyim ,borcodeme,0
44,kredi kartı borcumu bir defada kapatmak istiyorum,borcodeme,0
45,kart borcumu kısa sürede ödemek istiyorum,borcodeme,0
46,kredi kartı borcumu ödemek otomatik ödeme talimatı verebilir miyim ,borcodeme,0
0,anneme para göndermek istiyorum,paragonderme,2
1,para transferi yapmak istiyorum,paragonderme,2
2,fast para göndermek istiyorum,paragonderme,2
3,kayıtlı numaraya para transferi,paragonderme,2
4,para göndermek istiyorum,paragonderme,2
5,para transferi yapmak istiyorum,paragonderme,2
6,eft para göndermek istiyorum,paragonderme,2
7,havale para göndermek istiyorum,paragonderme,2
8,anneme hemen para göndermek istiyorum,paragonderme,2
9,hızlı bir şekilde para transferi yapmak istiyorum,paragonderme,2
10,banka hesabına para göndermek istiyorum,paragonderme,2
11,mobil uygulama üzerinden para transferi,paragonderme,2
12,online olarak para göndermek istiyorum,paragonderme,2
13,para transferi yapmalıyım ,paragonderme,2
14,kolay bir şekilde para göndermek istiyorum,paragonderme,2
15,anneme acil para göndermek istiyorum,paragonderme,2
16,para gönderme işlemi yapılır ,paragonderme,2
17,para transferi gereken bilgiler neler ,paragonderme,2
18,hesap numarasına para transferi yapmak istiyorum,paragonderme,2
19,kredi kartıyla para göndermek istiyorum,paragonderme,2
20,para transferi ücretleri neler ,paragonderme,2
21,mobil cüzdan üzerinden para göndermek istiyorum,paragonderme,2
22,banka şubesinden para transferi,paragonderme,2
23,hesap bilgilerini kullanarak para göndermek istiyorum,paragonderme,2
24,para transferi işlem süresi nedir ,paragonderme,2
25,anneme güvenli bir şekilde para göndermek istiyorum,paragonderme,2
26,para gönderme limiti nedir ,paragonderme,2
27,kredi kartıyla hızlı para transferi yapmak istiyorum,paragonderme,2
28,havale ücretleri neler ,paragonderme,2
29,para transferi yaparken nelere dikkat etmeliyim ,paragonderme,2
30,banka hesabıma para göndermek istiyorum,paragonderme,2
31,eft ücretleri nedir ,paragonderme,2
32,mobil uygulama üzerinden hemen para göndermek istiyorum,paragonderme,2
33,kredi kartıyla anında para transferi yapmak istiyorum,paragonderme,2
34,para gönderme işlemi güvenli mi ,paragonderme,2
35,havale yaparken nelere dikkat etmeliyim ,paragonderme,2
36,para transferi sırasında hangi bilgiler gerekli ,paragonderme,2
37,anneme online olarak para göndermek istiyorum,paragonderme,2
38,fast hızlı para göndermek istiyorum,paragonderme,2
39,hesap bilgileri olmadan para transferi yapabilir miyim ,paragonderme,2
40,banka şubesine gitmeden para göndermek istiyorum,paragonderme,2
41,para transferi yaparken alınan komisyonlar neler ,paragonderme,2
42,havale işlemi gereken bilgiler neler ,paragonderme,2
43,kredi kartıyla güvenli para transferi yapmak istiyorum,paragonderme,2
44,para gönderme işlemi sonrasında bilgilendirme alabilirim ,paragonderme,2
45,eft işlem süresi nedir ,paragonderme,2
46,mobil cüzdan kolay para transferi yapmak istiyorum,paragonderme,2
